gene:evm.TU.01.1013 
gene:evm.TU.01.102 
gene:evm.TU.01.1040 
gene:evm.TU.01.1042 
gene:evm.TU.01.1076 
gene:evm.TU.01.1191 
gene:evm.TU.01.1257 
gene:evm.TU.01.1269 
gene:evm.TU.01.1281 
gene:evm.TU.01.1297 
gene:evm.TU.01.1304 
gene:evm.TU.01.1336 
gene:evm.TU.01.1386 
gene:evm.TU.01.1387 
gene:evm.TU.01.1398 
gene:evm.TU.01.1427 
gene:evm.TU.01.144 
gene:evm.TU.01.1440 
gene:evm.TU.01.1496 
gene:evm.TU.01.1499 
gene:evm.TU.01.1521 
gene:evm.TU.01.1537 
gene:evm.TU.01.1577 
gene:evm.TU.01.1622 
gene:evm.TU.01.1661 
gene:evm.TU.01.1677 
gene:evm.TU.01.1686 
gene:evm.TU.01.1731 
gene:evm.TU.01.1743 
gene:evm.TU.01.177 
gene:evm.TU.01.1779 
gene:evm.TU.01.1814 
gene:evm.TU.01.185 
gene:evm.TU.01.187 
gene:evm.TU.01.1964 
gene:evm.TU.01.1997 
gene:evm.TU.01.2022 
gene:evm.TU.01.2080 
gene:evm.TU.01.2088 
gene:evm.TU.01.2121 
gene:evm.TU.01.2279 
gene:evm.TU.01.2291 
gene:evm.TU.01.2327 
gene:evm.TU.01.2345 
gene:evm.TU.01.2358 
gene:evm.TU.01.2363 
gene:evm.TU.01.2364 
gene:evm.TU.01.2384 
gene:evm.TU.01.2413 
gene:evm.TU.01.2423 
gene:evm.TU.01.2443 
gene:evm.TU.01.2481 
gene:evm.TU.01.2489 
gene:evm.TU.01.2503 
gene:evm.TU.01.2517 
gene:evm.TU.01.26 
gene:evm.TU.01.262 
gene:evm.TU.01.2631 
gene:evm.TU.01.2677 
gene:evm.TU.01.2733 
gene:evm.TU.01.2739 
gene:evm.TU.01.276 
gene:evm.TU.01.2790 
gene:evm.TU.01.2791 
gene:evm.TU.01.2819 
gene:evm.TU.01.2857 
gene:evm.TU.01.289 
gene:evm.TU.01.2924 
gene:evm.TU.01.2925 
gene:evm.TU.01.2942 
gene:evm.TU.01.2950 
gene:evm.TU.01.2954 
gene:evm.TU.01.2956 
gene:evm.TU.01.2963 
gene:evm.TU.01.2997 
gene:evm.TU.01.2998 
gene:evm.TU.01.3014 
gene:evm.TU.01.3035 
gene:evm.TU.01.3066 
gene:evm.TU.01.372 
gene:evm.TU.01.453 
gene:evm.TU.01.467 
gene:evm.TU.01.469 
gene:evm.TU.01.494 
gene:evm.TU.01.497 
gene:evm.TU.01.506 
gene:evm.TU.01.513 
gene:evm.TU.01.540 
gene:evm.TU.01.557 
gene:evm.TU.01.597 
gene:evm.TU.01.61 
gene:evm.TU.01.613 
gene:evm.TU.01.614 
gene:evm.TU.01.617 
gene:evm.TU.01.621 
gene:evm.TU.01.623 
gene:evm.TU.01.626 
gene:evm.TU.01.635 
