gene_ID	SampleName	mean.TPM	z.score.logTPM	Part	module	description
evm.TU.02.1338	Flower	0	-0.6453430461237829	Female flower	40	
evm.TU.02.1338	Flower	0	-0.6453430461237829	Flower	40	
evm.TU.02.1338	Flower	0	-0.6453430461237829	Male flower	40	
evm.TU.02.1338	Flower	0	-0.6453430461237829	Female reproductive bud	40	
evm.TU.02.1338	Flower	0	-0.6453430461237829	Female floral bud	40	
evm.TU.02.1338	Leaf	0	-0.6453430461237829	Leaf	40	
evm.TU.02.1338	Leaf	0	-0.6453430461237829	Leaf 	40	
evm.TU.02.1338	Leaf	0	-0.6453430461237829	Petiole	40	
evm.TU.02.1338	Leaf	0	-0.6453430461237829	Vegetative leaf - fresh cutting	40	
evm.TU.02.1338	Leaf	0	-0.6453430461237829	Female reproductive leaf	40	
evm.TU.02.1338	Meristem	31.359854146169997	1.256130095400975	Female apical meristem	40	
evm.TU.02.1338	Meristem	31.359854146169997	1.256130095400975	Male apical meristem	40	
evm.TU.02.1338	Root	0	-0.6453430461237829	Roots	40	
evm.TU.02.1338	Root	0	-0.6453430461237829	Root	40	
evm.TU.02.1338	Root	0	-0.6453430461237829	Female root-mid	40	
evm.TU.02.1338	Root	0	-0.6453430461237829	Female root-tip	40	
evm.TU.02.1338	Stem	0	-0.6453430461237829	Stem	40	
evm.TU.02.1338	Stem	0	-0.6453430461237829	Primary stem	40	
evm.TU.02.1338	Stem	0	-0.6453430461237829	Shoot	40	
evm.TU.02.1338	Trichome	29.51633780418391	1.3252420890941563	Trichomes	40	
evm.TU.02.1350	Flower	0	-0.727637930044649	Female flower	40	
evm.TU.02.1350	Flower	0	-0.727637930044649	Flower	40	
evm.TU.02.1350	Flower	0	-0.727637930044649	Male flower	40	
evm.TU.02.1350	Flower	0	-0.727637930044649	Female reproductive bud	40	
evm.TU.02.1350	Flower	0	-0.727637930044649	Female floral bud	40	
evm.TU.02.1350	Leaf	0	-0.727637930044649	Leaf	40	
evm.TU.02.1350	Leaf	0	-0.727637930044649	Leaf 	40	
evm.TU.02.1350	Leaf	0	-0.727637930044649	Petiole	40	
evm.TU.02.1350	Leaf	0	-0.727637930044649	Vegetative leaf - fresh cutting	40	
evm.TU.02.1350	Leaf	0	-0.727637930044649	Female reproductive leaf	40	
evm.TU.02.1350	Meristem	64.4236073289562	1.2673918167646168	Female apical meristem	40	
evm.TU.02.1350	Meristem	64.4236073289562	1.2673918167646168	Male apical meristem	40	
evm.TU.02.1350	Root	0	-0.727637930044649	Roots	40	
evm.TU.02.1350	Root	0	-0.727637930044649	Root	40	
evm.TU.02.1350	Root	0	-0.727637930044649	Female root-mid	40	
evm.TU.02.1350	Root	0	-0.727637930044649	Female root-tip	40	
evm.TU.02.1350	Stem	2.711177477352702	-0.3747823663060557	Stem	40	
evm.TU.02.1350	Stem	2.711177477352702	-0.3747823663060557	Primary stem	40	
evm.TU.02.1350	Stem	2.711177477352702	-0.3747823663060557	Shoot	40	
evm.TU.02.1350	Trichome	65.73554175222645	1.2903043396753857	Trichomes	40	
evm.TU.05.1669	Flower	0	-0.6449404447064807	Female flower	40	
evm.TU.05.1669	Flower	0	-0.6449404447064807	Flower	40	
