gene_ID	coefVar.logTPM	coefVar.TPM	relVar.TPM	relVar.logTPM	rank.CVlogTPM	rank.CVTPM	rank.varTPM	rank.varlogTPM
evm.TU.01.1	0.06870645719041958	0.23793164590315483	1.6046725779717788	0.006799079010659179	2600	2544	4230	2462
evm.TU.01.100	0.22571050597696288	0.7182281130958204	64.32407052941949	0.09551875721535348	9121	10046	15231	10280
evm.TU.01.1000	0.5849892970350961	1.008776308758386	4.389276410340779	0.18664239230326587	12329	12112	8139	11856
evm.TU.01.1001	0.06328623647650197	0.2994223364439338	24.644087112041287	0.009570853950072126	2187	4046	13570	3462
evm.TU.01.1002	0.07764042089971535	0.21131797565211682	0.45894100500400015	0.006252029939568764	3234	1858	1062	2234
evm.TU.01.1003	0.6422218101480555	1.077655422749039	135.69253065664392	0.5416060295553083	12610	12430	15919	14828
evm.TU.01.1004	0.10537386800676296	0.24329196594840108	0.42089042994912895	0.00986883871315417	5023	2667	931	3548
evm.TU.01.1005	0.1367994569427709	0.37375694420974764	1.2684351503128826	0.01810516182450933	6602	5654	3432	5625
evm.TU.01.1006	0.09185713915070977	0.6573362857426098	383.55688683360404	0.02389051408334785	4211	9518	16370	6552
evm.TU.01.101	0.07683571693174207	0.23852955132549652	0.7897759144741668	0.006732702792569513	3183	2564	2090	2425
evm.TU.01.1010	0.5949660983502794	1.3177176547742706	11.693179969545469	0.21858093179429444	12382	13379	11620	12273
evm.TU.01.1011	0.339134614057658	0.6690108792914472	3.4500652105207283	0.08469434770963921	10732	9623	7190	10011
evm.TU.01.1013	0.8425631604059949	1.3270272361143864	19.132472426057078	0.3417741227665883	13245	13409	12984	13518
evm.TU.01.1015	0.14992840624042042	0.4114756409530053	24.27964863876981	0.046420121950781275	7124	6320	13537	8517
evm.TU.01.1016	0.09447311304855244	0.2562529219163283	1.0554696129678995	0.01073829740144847	4390	2985	2829	3811
evm.TU.01.1017	0.32700970489661996	0.8687561954868074	40.46693913523036	0.15392369141422665	10608	11255	14544	11374
evm.TU.01.1019	0.6738685373161546	1.3882492786621201	47.19308885435198	0.43899581081848554	12725	13599	14810	14227
evm.TU.01.102	1.103254535639828	1.3482439461310112	22.97836963977473	0.7424268669562741	13812	13476	13397	15601
evm.TU.01.1021	0.570230559613809	1.0918826535992943	68.01838615697018	0.4227630638220228	12242	12486	15292	14106
evm.TU.01.1023	0.4913242892753675	0.815833073952925	3.509331782661273	0.15272681707202135	11693	10852	7255	11363
evm.TU.01.1024	0.152927018894316	0.5407264537539309	47.82724835561721	0.047067183872207055	7222	8203	14832	8554
evm.TU.01.1025	0.14557795068473772	0.513152335559503	34.76987737545605	0.04284071651284875	6944	7847	14280	8303
evm.TU.01.1026	0.0927010401912984	0.44912877621464947	23.877478666745386	0.017182452163251857	4272	6953	13498	5430
evm.TU.01.1027	0.21059600596788028	0.6264987256568152	121.31176376679706	0.09596237541785167	8795	9210	15840	10291
evm.TU.01.1028	0.40000339935145396	0.8433656364203751	16.886765255066923	0.18167399158829575	11253	11049	12700	11793
evm.TU.01.103	0.04295261410186165	0.16877971621827295	1.3516434154171457	0.0030662430561009426	747	931	3654	791
evm.TU.01.1030	0.17668840480265427	0.9800382423439616	267.8872350639216	0.07017186852347365	7949	11959	16256	9600
evm.TU.01.1031	0.08015999226557283	0.3170068404529001	6.300290170349861	0.011154426668493195	3412	4456	9515	3940
evm.TU.01.1032	0.07110256523819791	0.2748943692815219	4.477778086079544	0.008864993556810048	2788	3444	8211	3229
evm.TU.01.1034	0.04823058098383906	0.20040829271005717	2.6013391134968584	0.004161884495245321	1076	1594	6020	1318
evm.TU.01.1035	1.5265913925572752	1.6612694868676166	8.68213593767065	0.6669498862431399	14491	14477	10675	15361
evm.TU.01.1037	0.23958168040927288	0.6203258911813746	5.31669810540271	0.05994344653423227	9382	9141	8900	9199
evm.TU.01.1039	0.19991413602250363	0.9535628068758536	30.059203281834183	0.05554892625781268	8521	11801	13975	8990
evm.TU.01.104	1.1654768908757756	1.2249346117994506	1.3484460151117796	0.25221263792242515	14042	13096	3641	12663
evm.TU.01.1040	0.08725852770207604	0.6404435485307253	89.3003870480158	0.01636355930717184	3893	9357	15575	5269
evm.TU.01.1042	0.19930006968989736	0.7800940413167078	82.56536593590513	0.07630489398892029	8506	10562	15501	9784
evm.TU.01.1043	0.3069603450328583	0.9926354949588372	267.60606300739556	0.19676738418212725	10396	12033	16255	12004
evm.TU.01.1048	0.15416991771642863	0.3699523824072507	0.6978904425334033	0.017575242639891582	7274	5581	1829	5520
evm.TU.01.105	1.5686080151018835	1.5527133636693062	0.7753529840986195	0.21401937887437844	14764	14051	2047	12231
evm.TU.01.1053	0.0385365021710022	0.14481451251259322	0.8033154697445742	0.002344013899245199	524	503	2123	511
evm.TU.01.1054	0.041347318213803545	0.19127822811455134	2.7437800354129775	0.003181261908312885	666	1380	6237	839
evm.TU.01.1055	0.12990035383024856	0.28959076725837524	0.6401822843558728	0.015248939476660017	6310	3795	1649	5038
evm.TU.01.1057	0.1980745897853907	0.3711503666491181	0.44074701390216936	0.02348438154912917	8483	5603	999	6491
evm.TU.01.1058	0.16803602432783166	0.38476815776318257	2.390514334681724	0.03306521966817347	7695	5863	5703	7580
evm.TU.01.1059	0.08155956288278521	0.4863806393565757	9.707165392511262	0.010398951653933992	3514	7451	11020	3708
evm.TU.01.106	2.449489742783178	2.449489742783178	1.1490959188296908	0.3080507754831576	15771	15771	3116	13193
evm.TU.01.1060	0.0685700960263139	0.27011334609457777	3.3438829104285013	0.0077332905346452615	2587	3337	7055	2835
evm.TU.01.1062	1.1941951456281747	1.4144946015452722	8.743632706073367	0.5647048553910538	14125	13671	10698	14942
evm.TU.01.1063	2.449489742783178	2.449489742783178	1.8734374065488624	0.4370249871881387	15771	15771	4795	14209
evm.TU.01.1064	0.08785115779811851	0.3272594728517763	4.045083263956221	0.011885338892657516	3926	4697	7817	4162
evm.TU.01.1065	0.06957263468176178	0.250589703142135	1.5033600371325178	0.006648800699852928	2678	2858	4015	2399
evm.TU.01.1067	0.425258390464196	0.9038542339470658	4.626545096339251	0.12770693873468242	11395	11478	8340	10933
evm.TU.01.1068	0.34136255690303824	0.5361869103547956	0.41093378461699054	0.04123305599604568	10751	8148	893	8216
evm.TU.01.107	0.2597126720706798	0.7811782977674612	109.11821117326011	0.1353938142607392	9734	10574	15759	11076
evm.TU.01.1070	0.11294080800906597	0.35625938250328215	4.567580138172876	0.019359036734250535	5459	5299	8286	5866
evm.TU.01.1073	0.3399280090951286	1.2334537818257245	28.922473906997485	0.1242781453664913	10740	13130	13898	10878
evm.TU.01.1074	0.12338008474298122	0.425617190436495	3.970582504589702	0.02000971661498051	5997	6568	7742	5980
evm.TU.01.1076	1.8373392618924105	2.0727810485270157	126.83637991034071	1.2898837187599779	15307	15167	15878	16414
evm.TU.01.108	0.4580323679431178	0.8593510730962071	21.880879487257904	0.2435514101441031	11567	11175	13303	12561
evm.TU.01.1080	0.8514906823180793	0.9741991823988809	11.479897042545252	0.49312286945657613	13273	11924	11556	14555
evm.TU.01.1083	0.30370260590255693	0.947063161639986	4.72625196992884	0.05504962750750269	10357	11750	8428	8971
evm.TU.01.1085	0.2086798345529788	0.3774438449193085	0.8926663608741991	0.03408383303387012	8738	5722	2379	7677
evm.TU.01.1086	0.4749482536733544	0.9355481128528977	11.774935457775953	0.19000670527707245	11629	11680	11647	11905
evm.TU.01.1088	0.1799136517149654	0.5676346043242253	8.594992665952569	0.04341888410163482	8038	8540	10642	8349
evm.TU.01.1089	0.7062640693960099	1.1570348408650002	11.350323499800982	0.328452389706937	12812	12795	11512	13410
evm.TU.01.109	0.4295631828255558	1.0075834258847542	97.9391366773284	0.2855787534700513	11421	12107	15656	12980
evm.TU.01.1090	0.08294594847804107	0.313021869200147	4.476433081110163	0.01128134110381328	3607	4364	8206	3980
evm.TU.01.1093	0.03588089884625789	0.17972034446652949	2.3837855407995834	0.0023879697393631313	417	1134	5691	528
evm.TU.01.1094	0.12005729543242645	0.36443379714747404	6.748173058760055	0.023929197782780964	5842	5468	9775	6554
evm.TU.01.1095	0.05495701955118975	0.21666071417368254	2.2263476285780244	0.005006222602739224	1574	1979	5454	1704
evm.TU.01.1096	0.05492553035399883	0.1900554914780855	1.1463628952515104	0.004476949083398667	1570	1355	3103	1465
evm.TU.01.1097	0.3644538131453432	0.9793932995860032	18.363491303910596	0.13299855084135664	10974	11956	12887	11027
evm.TU.01.11	0.09714695331697258	0.3902413979729525	3.870655249748027	0.012994978366460328	4569	5959	7645	4469
evm.TU.01.1102	0.5406137596934688	0.8677440672559258	7.99312806820139	0.2233879990964841	12058	11244	10368	12319
evm.TU.01.1106	0.9994036100080775	1.5248742868193228	68.24606562487352	0.8305858969599019	13675	13934	15294	15835
evm.TU.01.1108	2.4494897427831783	2.449489742783178	62.84494118120491	1.6530986497273719	16352.5	15771	15194	16552
