N_unmapped	1737058	1737058	1737058
N_multimapping	2604653	2604653	2604653
N_noFeature	2062402	12910861	2710872
N_ambiguous	12019019	1246	26163
novel_gene_1202_5bd9a17a	0	4	31
novel_gene_931_5bd9a17a	7	0	7
novel_gene_564_5bd9a17a	850	44	806
evm.TU.01.1936	0	0	0
evm.TU.01.2877	0	0	0
evm.TU.01.2844	0	0	0
evm.TU.01.2454	0	0	0
novel_gene_1125_5bd9a17a	46	4	42
novel_gene_769_5bd9a17a	386	19	367
evm.TU.01.2671	1628	93	1535
novel_gene_1021_5bd9a17a	0	1	0
evm.TU.01.253	3869	169	3700
evm.TU.01.2573	530	23	507
evm.TU.01.1200	152	7	145
evm.TU.01.262	510	18	492
evm.TU.01.589	4	0	4
novel_gene_1162_5bd9a17a	604	39	565
evm.TU.01.2570	5	0	5
novel_gene_808_5bd9a17a	2422	148	2275
evm.TU.01.540	3136	169	2967
evm.TU.01.649	262	8	254
evm.TU.01.3041	0	0	0
evm.TU.01.276	1658	67	1591
novel_gene_973_5bd9a17a	45	0	45
evm.TU.01.1749	0	0	0
evm.TU.01.2344	0	0	0
evm.TU.01.800	3	0	3
evm.TU.01.1203	277	19	258
evm.TU.01.1864	0	0	0
novel_gene_273_5bd9a17a	6	0	6
evm.TU.01.623	4443	184	4259
evm.TU.01.2263	0	0	0
evm.TU.01.1522	162	130	32
evm.TU.01.842	0	0	0
evm.TU.01.2368	27	0	27
evm.TU.01.1500	152	3	149
evm.TU.01.813	2690	131	2559
evm.TU.01.2867	573	35	538
novel_gene_1205_5bd9a17a	2136	146	2453
evm.TU.01.1598	0	0	0
evm.TU.01.1963	0	0	0
evm.TU.01.2629	802	62	740
evm.TU.01.2438	58	8	50
evm.TU.01.1084	0	0	0
evm.TU.01.2826	0	0	0
novel_gene_215_5bd9a17a	122	1	121
evm.TU.01.2967	96	5	91
evm.TU.01.2254	0	0	0
evm.TU.01.2897	9	0	9
evm.TU.01.330	72	4	68
evm.TU.01.336	0	0	0
evm.TU.01.1601	0	0	0
evm.TU.01.2828	5300	235	5065
novel_gene_1155_5bd9a17a	180	6	174
evm.TU.01.1385	9	0	9
evm.TU.01.2367	0	0	0
evm.TU.01.1367	0	0	0
evm.TU.01.1388	66	4	62
novel_gene_603_5bda875f	2926	134	2792
evm.TU.01.125	0	0	0
evm.TU.01.1295	217	5	212
evm.TU.01.1617	0	0	0
novel_gene_307_5bd9a17a	4	0	4
novel_gene_963_5bd9a17a	1207	74	1133
evm.TU.01.1325	0	0	0
evm.TU.01.526	241	15	226
evm.TU.01.1624	0	0	0
evm.TU.01.81	50	0	50
novel_gene_555_5bd9a17a	0	0	0
evm.TU.01.1693	0	0	0
evm.TU.01.2383	0	0	0
evm.TU.01.2456	372	25	347
novel_gene_318_5bd9a17a	9	1	8
evm.TU.01.2821	140	3	137
evm.TU.01.153	134	7	127
evm.TU.01.331	278	8	270
novel_gene_992_5bd9a17a	242	6	236
evm.TU.01.2996	0	0	0
evm.TU.01.2523	150	7	143
evm.TU.01.2033	0	0	0
evm.TU.01.2591	45	3	42
evm.TU.01.945	1519	77	1442
evm.TU.01.2316	0	0	0
evm.TU.01.1031	823	25	798
evm.TU.01.2890	0	0	0
evm.TU.01.2172	83	6	77
evm.TU.01.1831	2374	115	2259
evm.TU.01.870	227	10	217
evm.TU.01.1801	0	0	0
evm.TU.01.983	88	3	85
evm.TU.01.2954	87	4	83
novel_gene_220_5bd9a17a	269	17	252
evm.TU.01.2493	0	0	0
evm.TU.01.1428	0	0	0
evm.TU.01.1882	174	16	158
novel_gene_191_5bd9a17a	1	0	1
evm.TU.01.1856	0	0	0
evm.TU.01.1615	0	0	0
evm.TU.01.2569	0	0	0
evm.TU.01.2467	81	7	74
evm.TU.01.981	1272	1374	2138
evm.TU.01.678	0	0	0
novel_gene_821_5bd9a17a	537	47	490
evm.TU.01.436	1277	64	1213
evm.TU.01.3035	653	25	628
evm.TU.01.2918	150	4	146
evm.TU.01.289	4588	178	4410
evm.TU.01.2587	0	0	0
evm.TU.01.2214	0	0	0
evm.TU.01.1300	2	223	27
evm.TU.01.3066	374	22	352
evm.TU.01.2186	211	15	196
evm.TU.01.2122	0	0	0
evm.TU.01.1927	6	0	9
evm.TU.01.2685	333	18	315
evm.TU.01.2825	114	5	109
evm.TU.01.661	535	19	516
evm.TU.01.1222	673	27	646
evm.TU.01.779	266	9	257
evm.TU.01.2400	0	0	0
novel_gene_721_5bd9a17a	9	0	9
evm.TU.01.770	326	15	311
evm.TU.01.1884	110	7	103
evm.TU.01.1766	0	0	0
evm.TU.01.302	30	1	29
evm.TU.01.122	1318	46	1272
evm.TU.01.1646	601	22	579
evm.TU.01.2885	138	11	127
evm.TU.01.988	363	21	342
novel_gene_664_5bd9a17a	5582	466	5116
evm.TU.01.2450	0	0	0
novel_gene_1166_5bd9a17a	101	100	1
novel_gene_627_5bd9a17a	518	17	501
novel_gene_188_5bd9a17a	290	19	271
