gene_ID	coefVar.logTPM	coefVar.TPM	relVar.TPM	relVar.logTPM	rank.CVlogTPM	rank.CVTPM	rank.varTPM	rank.varlogTPM
evm.TU.03.149	0.09908446666868512	0.22907714623900072	0.4338386583475646	0.009284261037688778	4802	2367	921	3461
evm.TU.03.1492	1.5550779889698993	1.5684778796604406	4.61220945789851	0.6495611623463395	14644	14183	8442	15246
evm.TU.03.1493	2.4494897427831783	2.4494897427831783	7.225122531177816	0.8986219133204825	16336.5	16351.5	10122	15924
evm.TU.03.15	0.17750551841268256	0.4743799658370434	2.084704116033403	0.029664417007707836	8073	7449	5233	7371
evm.TU.03.150	0.14567835580060556	0.44196770761685433	3.4760820635816927	0.025838819848048478	7052	7032	7328	6921
evm.TU.03.1500	0.1008344125672724	0.33574638877950463	3.8661780033986237	0.015311522579520584	4896	5080	7748	5148
evm.TU.03.1501	0.09489134732186909	0.2613228322330656	0.9401767977145836	0.010181249530204665	4511	3227	2482	3764
evm.TU.03.1506	2.449489742783178	2.449489742783178	42.19607032474529	1.09666905932918	15742	15756.5	14687	16227
evm.TU.03.1507	2.4494897427831783	2.4494897427831783	1.2652403258967695	0.3275762042940183	16336.5	16351.5	3401	13394
evm.TU.03.1509	1.6621343931263561	1.8388053127024204	9.129834442797943	0.7479209991909366	15124	14862	10950	15588
evm.TU.03.151	0.08809861584440412	0.2866498302747305	2.029341917480697	0.010618759488730426	4064	3883	5134	3884
evm.TU.03.1510	2.4494897427831783	2.449489742783178	0.3233469345206137	0.11550559186881623	16336.5	15756.5	557	10762
evm.TU.03.152	0.1700339903873921	0.7251685486462816	33.65985236301634	0.049202561669877874	7863	10257	14284	8800
evm.TU.03.153	0.7498102771841648	1.3351191930842248	11.852428652283072	0.34686786735454606	12935	13479	11762	13546
evm.TU.03.1530	2.449489742783178	2.449489742783178	563.7277117121434	2.575453389945399	15742	15756.5	16467	16626
evm.TU.03.1537	2.449489742783178	2.4494897427831783	2.155793395759958	0.44628750826471547	15742	16351.5	5384	14226
evm.TU.03.1539	2.449489742783178	2.449489742783178	4.416167764332464	0.6509991197765262	15742	15756.5	8272	15252
evm.TU.03.154	0.05226257048034465	0.17572432780922445	0.9934700905811317	0.0040898889283819215	1427	1037	2649	1305
evm.TU.03.1543	0.0494821296137119	0.12726267073831005	0.1891463670185109	0.0026609581849151662	1227	290	220	614
evm.TU.03.1544	0.16066088366975942	0.37306607058699703	1.2711571132920036	0.024939087283356004	7563	5824	3419	6813
evm.TU.03.1546	0.49441761170027737	0.5114282518294762	2.3822217316759917	0.2114454398711536	11749	7967	5774	12212
evm.TU.03.1547	0.1153798845954399	0.3431152251781196	2.4155666890698146	0.01730640906636533	5699	5250	5837	5593
